NO,stock,name,sector
330,144960,뉴파워프라즈마,032902
331,900100,뉴프라이드,074502
332,085670,뉴프렉스,032602
333,053290,능률교육,105801
334,222810,닉스테크,105802
335,119860,다나와,105802
336,064260,다날,105802
337,204690,다린,032202
338,093640,다믈멀티미디어,032601
339,039560,다산네트웍스,032604
340,023590,다우기술,106301
341,032190,다우데이타,074605
342,020120,다우인큐브,106201
343,068240,다원시스,032801
344,271850,다이오진,137001
345,015590,대경기계기술,032901
346,019680,대교,168501
347,006370,대구백화점,074701
348,004130,대덕GDS,032602
349,008060,대덕전자,032602
350,178600,대동고려삼,031007
351,000490,대동공업,032902
352,020400,대동금속,032403
353,008830,대동기어,032902
354,048470,대동스틸,032401
355,008110,대동전자,032604
356,004780,대륙제관,032509
357,005750,대림비앤코,032302
358,000210,대림산업,064102
359,004440,대림씨엔에스,032303
360,017650,대림제지,031709
361,006570,대림통상,032509
362,007720,대명코퍼레이션,074608
363,078140,대봉엘에스,032102
364,001680,대상,031007
365,084690,대상홀딩스,116409
366,036480,대성미생물,032102
367,128820,대성산업,074707
368,117580,대성에너지,043502
369,025440,대성엘텍,032605
370,027830,대성창투,116402
371,104040,대성파인텍,033003
372,005620,대성합동지주,137105
373,016710,대성홀딩스,137105
374,262830,대신밸런스제4호스팩,116601
375,020180,대신정보통신,106201
376,003540,대신증권,116601
377,045390,대아티아이,105802
378,009190,대양금속,032401
379,108380,대양전기공업,033101
380,006580,대양제지,031701
381,014160,대영포장,031702
382,047040,대우건설,064101
383,009320,대우부품,033003
384,215580,대우스팩3호,116601
385,042660,대우조선해양,033101
386,003090,대웅,116409
387,069620,대웅제약,032102
388,000430,대원강업,033003
389,048910,대원미디어,105901
390,005710,대원산업,033003
391,006340,대원전선,032803
392,003220,대원제약,032102
393,024890,대원화성,032202
394,002880,대유에이텍,033003
395,071460,대유위니아,032805
396,000300,대유플러스,033003
397,120240,대정화금,032001
398,003310,대주산업,031008
399,114920,대주이엔티,032401
400,078600,대주전자재료,032602
401,065690,대진디엠피,032201
402,012800,대창,032402
403,015230,대창단조,033003
404,096350,대창솔루션,032501
